,País,Ano,Quantidade Importada(Kg),Valor Importado(US$),Valor por litro importado(US$),Quantidade Exportada(Kg),Valor Exportado(US$),Valor por litro exportado(US$)
0,Argentina,2007,15621172.0,36160548.0,2.31,0,0,0.0
1,Austrália,2007,363611.0,1583361.0,4.35,60,281,4.68
2,Áustria,2007,1688.0,35247.0,20.88,0,0,0.0
3,Bélgica,2007,0.0,0.0,0.0,1077,3751,3.48
4,Bolívia,2007,540.0,1348.0,2.5,4985,3550,0.71
5,Bósnia-Herzegovina,2007,0.0,0.0,0.0,0,0,0.0
6,Brasil,2007,3513.0,19633.0,5.59,0,0,0.0
7,Bulgária,2007,0.0,0.0,0.0,0,0,0.0
8,Chile,2007,18845522.0,47680946.0,2.53,60930,67353,1.11
9,China,2007,459.0,4235.0,9.23,7638,30390,3.98
10,Croácia,2007,0.0,0.0,0.0,0,0,0.0
11,Espanha,2007,862045.0,4506858.0,5.23,0,0,0.0
12,Estados Unidos,2007,79376.0,334204.0,4.21,479269,810038,1.69
13,França,2007,2737947.0,14721769.0,5.38,6349,11231,1.77
14,Grécia,2007,18110.0,137867.0,7.61,0,0,0.0
15,Hong Kong,2007,0.0,0.0,0.0,0,0,0.0
16,Hungria,2007,14600.0,82552.0,5.65,0,0,0.0
17,Irlanda,2007,0.0,0.0,0.0,0,0,0.0
18,Itália,2007,9177932.0,22023175.0,2.4,7209,19860,2.75
19,Japão,2007,0.0,0.0,0.0,357943,316867,0.89
20,Líbano,2007,6768.0,25265.0,3.73,0,0,0.0
21,Luxemburgo,2007,0.0,0.0,0.0,785,2033,2.59
22,México,2007,0.0,0.0,0.0,2453,15425,6.29
23,Montenegro,2007,0.0,0.0,0.0,0,0,0.0
24,Noruega,2007,0.0,0.0,0.0,10044,10044,1.0
25,Nova Zelândia,2007,47220.0,417276.0,8.84,0,0,0.0
26,Panamá,2007,0.0,0.0,0.0,810,1030,1.27
27,Peru,2007,0.0,0.0,0.0,0,0,0.0
28,Porto Rico,2007,15658.0,14781.0,0.94,0,0,0.0
29,Portugal,2007,6805601.0,23945522.0,3.52,109074,165282,1.52
30,Reino Unido,2007,7056.0,67728.0,9.6,84613,144244,1.7
31,Rússia,2007,0.0,0.0,0.0,266400,173160,0.65
32,Suíça,2007,0.0,0.0,0.0,26090,70716,2.71
33,"Tcheca, República",2007,0.0,0.0,0.0,85303,189620,2.22
34,Tunísia,2007,0.0,0.0,0.0,0,0,0.0
35,Turquia,2007,0.0,0.0,0.0,0,0,0.0
36,Uruguai,2007,2387225.0,3131899.0,1.31,0,0,0.0
37,Argentina,2008,14417761.0,37382581.0,2.59,0,0,0.0
38,Austrália,2008,215135.0,1248671.0,5.8,218726,99280,0.45
39,Áustria,2008,11388.0,73348.0,6.44,0,0,0.0
40,Bélgica,2008,0.0,0.0,0.0,3523,12969,3.68
41,Bolívia,2008,0.0,0.0,0.0,3979,3990,1.0
42,Bósnia-Herzegovina,2008,0.0,0.0,0.0,0,0,0.0
43,Brasil,2008,309.0,1769.0,5.72,0,0,0.0
44,Bulgária,2008,0.0,0.0,0.0,0,0,0.0
45,Chile,2008,18662626.0,50748373.0,2.72,0,0,0.0
46,China,2008,6858.0,32738.0,4.77,8689,25926,2.98
47,Croácia,2008,0.0,0.0,0.0,0,0,0.0
48,Espanha,2008,990697.0,6036397.0,6.09,2942,6834,2.32
49,Estados Unidos,2008,65956.0,542331.0,8.22,443895,804607,1.81
50,França,2008,2466277.0,16275708.0,6.6,11078,27500,2.48
51,Grécia,2008,11034.0,78819.0,7.14,0,0,0.0
52,Hong Kong,2008,0.0,0.0,0.0,2430,13460,5.54
53,Hungria,2008,15981.0,90021.0,5.63,0,0,0.0
54,Irlanda,2008,0.0,0.0,0.0,0,0,0.0
55,Itália,2008,9723292.0,24378627.0,2.51,0,0,0.0
56,Japão,2008,0.0,0.0,0.0,232293,178333,0.77
57,Líbano,2008,10270.0,47054.0,4.58,0,0,0.0
58,Luxemburgo,2008,0.0,0.0,0.0,13606,42341,3.11
59,México,2008,0.0,0.0,0.0,0,0,0.0
60,Montenegro,2008,0.0,0.0,0.0,0,0,0.0
61,Noruega,2008,0.0,0.0,0.0,0,0,0.0
62,Nova Zelândia,2008,58408.0,536625.0,9.19,0,0,0.0
63,Panamá,2008,0.0,0.0,0.0,1161,1882,1.62
64,Peru,2008,0.0,0.0,0.0,0,0,0.0
65,Porto Rico,2008,0.0,0.0,0.0,0,0,0.0
66,Portugal,2008,6213781.0,23826443.0,3.83,49090,48942,1.0
67,Reino Unido,2008,315.0,10257.0,32.56,100097,155076,1.55
68,Rússia,2008,0.0,0.0,0.0,6207658,2352768,0.38
69,Suíça,2008,1194.0,5359.0,4.49,54384,216317,3.98
70,"Tcheca, República",2008,0.0,0.0,0.0,17135,64709,3.78
71,Tunísia,2008,0.0,0.0,0.0,0,0,0.0
72,Turquia,2008,0.0,0.0,0.0,0,0,0.0
73,Uruguai,2008,920389.0,2089539.0,2.27,0,0,0.0
74,Argentina,2009,13902750.0,38521731.0,2.77,162,4523,27.92
75,Austrália,2009,270908.0,998680.0,3.69,1014,9195,9.07
76,Áustria,2009,1895.0,12073.0,6.37,0,0,0.0
77,Bélgica,2009,0.0,0.0,0.0,125962,58764,0.47
78,Bolívia,2009,0.0,0.0,0.0,40463,20729,0.51
79,Bósnia-Herzegovina,2009,0.0,0.0,0.0,0,0,0.0
80,Brasil,2009,0.0,0.0,0.0,0,0,0.0
81,Bulgária,2009,0.0,0.0,0.0,0,0,0.0
