,País,Quantidade Importada(Toneladas),Valor Importado(US$ 1.000),Quantidade Exportada(Toneladas),Valor Exportado(US$ 1.000),Valor medio por kilo importado(US$),Valor medio por kilo exportado(US$)
0,Argentina,269619.536,867716.849,51.012,221.684,3.218301098923336,4.345722575080373
1,Austrália,5911.376,22741.979,274.714,469.529,3.8471548756161,1.709155703750082
2,Bolívia,0.54,1.348,209.406,293.668,2.4962962962962965,1.4023857960134858
3,Brasil,917.339,773.601,2.535,0.998,0.8433098342052392,0.3936883629191321
4,Bulgária,227.699,575.892,0.122,1.61,2.52918106798888,13.196721311475411
5,Bélgica,4.553,47.542,403.744,1398.977,10.441906435317375,3.4650100063406515
6,Bósnia-Herzegovina,1.218,0.902,0.045,0.052,0.7405582922824302,1.1555555555555554
7,Chile,653991.152,1824861.233,84.135,137.925,2.7903454464472635,1.6393296487787485
8,China,8.747,40.729,2517.096,4776.915,4.6563393163370295,1.8977881654096624
9,Croácia,21.829,150.155,0.055,0.607,6.87869348114893,11.036363636363635
10,Espanha,62724.734,215438.786,1993.0,3808.552,3.4346703805870265,1.9109643753135976
11,Estados Unidos,7704.918,37487.753,4042.624,10494.605,4.86543179304439,2.5959883976348035
12,França,63904.759,351878.34,323.902,731.59,5.506293201105727,2.2586770072429316
13,Grécia,598.84,2496.437,9.48,26.256,4.168787990114221,2.769620253164557
14,Hong Kong,0.311,2.776,149.132,453.894,8.92604501607717,3.043572137435292
15,Hungria,263.793,2009.006,0.627,4.686,7.615842725167082,7.473684210526316
16,Irlanda,0.286,2.702,16.97,104.717,9.447552447552448,6.170713022981733
17,Itália,157336.223,482538.384,32.806,161.158,3.0669249254826716,4.912455038712431
18,Japão,0.153,1.429,1539.635,2694.583,9.339869281045752,1.7501440276429154
19,Luxemburgo,0.005,0.085,67.326,371.967,17.0,5.52486409410926
20,Líbano,253.964,1608.088,0.0,0.0,6.331952560205384,0.0
21,Montenegro,1.701,5.44,0.032,0.131,3.198118753674309,4.09375
22,México,7.821,68.594,8.779,59.262,8.770489707198568,6.7504271557124955
23,Noruega,0.401,0.28,44.399,272.496,0.6982543640897756,6.137435527827202
24,Nova Zelândia,1221.462,9599.583,14.03,75.209,7.859092628342102,5.360584461867427
25,Panamá,0.017,0.096,62.966,163.546,5.647058823529411,2.5973700092113203
26,Peru,21.172,92.895,24.668,53.789,4.38763461175137,2.180517269336793
27,Porto Rico,15.78,16.39,0.0,0.0,1.0386565272496833,0.0
28,Portugal,211719.579,663572.985,528.66,746.701,3.134206992731645,1.412440888283585
29,Reino Unido,33.807,350.522,1324.164,4855.708,10.368326086313484,3.6669989517914696
30,Rússia,49.662,131.108,39296.199,25677.644,2.6400064435584554,0.6534383643568173
31,Suíça,15.617,113.171,178.984,976.98,7.246654286994941,5.458476735350645
32,"Tcheca, República",5.175,17.572,151.832,546.015,3.3955555555555557,3.5961786711628645
33,Tunísia,44.333,101.302,0.0,0.0,2.2850246994338304,0.0
34,Turquia,73.488,204.842,1.236,1.74,2.7874210755497497,1.4077669902912622
35,Uruguai,35976.623,88494.196,792.595,1219.878,2.4597693896950807,1.5390937363975294
36,Áustria,985.528,2531.866,0.681,5.432,2.5690452224594327,7.976505139500734
